RONCZ R1145MS (Rain-Safe Canard Airfoil)
  1.00000  0.00000
  0.99619  0.00057
  0.98481  0.00228
  0.96593  0.00503
  0.93969  0.00869
  0.90631  0.01310
  0.86603  0.01809
  0.81915  0.02350
  0.76604  0.02914
  0.70711  0.03481
  0.64279  0.04030
  0.57358  0.04542
  0.50000  0.04998
  0.42262  0.05381
  0.35206  0.05672
  0.28891  0.05858
  0.23373  0.05924
  0.18692  0.05862
  0.14874  0.05669
  0.11933  0.05349
  0.09369  0.04918
  0.07180  0.04397
  0.05353  0.03808
  0.03869  0.03176
  0.02701  0.02525
  0.01823  0.01878
  0.01206  0.01257
  0.00816  0.00699
  0.00617  0.00283
  0.00550  0.00063
  0.00617 -0.00096
  0.00816 -0.00203
  0.01206 -0.00283
  0.01823 -0.00346
  0.02701 -0.00397
  0.03869 -0.00438
  0.05353 -0.00469
  0.07180 -0.00489
  0.09369 -0.00496
  0.11933 -0.00489
  0.14874 -0.00466
  0.18692 -0.00425
  0.23373 -0.00364
  0.28891 -0.00284
  0.35206 -0.00188
  0.42262 -0.00082
  0.50000  0.00028
  0.57358  0.00133
  0.64279  0.00221
  0.70711  0.00281
  0.76604  0.00303
  0.81915  0.00282
  0.86603  0.00222
  0.90631  0.00138
  0.93969  0.00056
  0.96593 -0.00001
  0.98481 -0.00022
  0.99619 -0.00013
  1.00000  0.00000
