EPPLER 1230 MODIFIED (Main Wing - Reflex Applied)
  1.00000  0.00000
  0.99619  0.00086
  0.98481  0.00342
  0.96593  0.00751
  0.93969  0.01289
  0.90631  0.01929
  0.86603  0.02642
  0.81915  0.03401
  0.76604  0.04179
  0.70711  0.04948
  0.64279  0.05680
  0.57358  0.06350
  0.50000  0.06932
  0.42262  0.07400
  0.35206  0.07731
  0.28891  0.07902
  0.23373  0.07896
  0.18692  0.07701
  0.14874  0.07317
  0.11933  0.06757
  0.09369  0.06049
  0.07180  0.05231
  0.05353  0.04338
  0.03869  0.03407
  0.02701  0.02477
  0.01823  0.01595
  0.01206  0.00840
  0.00816  0.00305
  0.00617 -0.00065
  0.00550 -0.00205
  0.00617 -0.00302
  0.00816 -0.00376
  0.01206 -0.00437
  0.01823 -0.00493
  0.02701 -0.00548
  0.03869 -0.00603
  0.05353 -0.00656
  0.07180 -0.00706
  0.09369 -0.00748
  0.11933 -0.00779
  0.14874 -0.00794
  0.18692 -0.00789
  0.23373 -0.00759
  0.28891 -0.00701
  0.35206 -0.00611
  0.42262 -0.00489
  0.50000 -0.00340
  0.57358 -0.00173
  0.64279  0.00000
  0.70711  0.00161
  0.76604  0.00289
  0.81915  0.00364
  0.86603  0.00377
  0.90631  0.00330
  0.93969  0.00236
  0.96593  0.00123
  0.98481  0.00038
  0.99619  0.00005
  1.00000  0.00000
